idx,Major,Degree,NumSalariesReported,Avg,Max,Min,StDev,25th,Median,75th,Semester,Year,College
600,Environmental Studies,Bachelor,1,45000.0,45000.0,45000.0,+/- 0,45000.0,45000.0,45000.0,Spring,2017,College of Agriculture & Life Sciences
601,Food Science & Technology,Bachelor,4,45250.0,63000.0,30000.0,+/- 14408,38000.0,44000.0,63000.0,Spring,2017,College of Agriculture & Life Sciences
602,Forensic Investigative Science,Bachelor,3,48051.0,51276.0,41600.0,+/- 5586,48857.0,51276.0,51276.0,Spring,2017,College of Agriculture & Life Sciences
603,Genetics,Bachelor,3,44333.0,60000.0,33000.0,+/- 14012,38250.0,40000.0,60000.0,Spring,2017,College of Agriculture & Life Sciences
604,Horticulture,Bachelor,11,40545.0,70000.0,24000.0,+/- 12267,35750.0,40000.0,46000.0,Spring,2017,College of Agriculture & Life Sciences
605,Molecular & Env Plant Sciences,Doctorate,2,45500.0,48000.0,43000.0,+/- 3536,45500.0,45500.0,48000.0,Spring,2017,College of Agriculture & Life Sciences
606,Nutritional Sciences,Bachelor,4,46250.0,66000.0,30000.0,+/- 18007,32000.0,44500.0,66000.0,Spring,2017,College of Agriculture & Life Sciences
607,Plant & Environmental Soil Sc,Bachelor,4,46250.0,60000.0,32000.0,+/- 11786,43000.0,46500.0,60000.0,Spring,2017,College of Agriculture & Life Sciences
608,Poultry Science,Bachelor,7,46429.0,60000.0,30000.0,+/- 9356,45625.0,47500.0,53250.0,Spring,2017,College of Agriculture & Life Sciences
609,Rangeland Ecology & Management,Bachelor,3,43759.0,51276.0,40000.0,+/- 6510,40000.0,40000.0,51276.0,Spring,2017,College of Agriculture & Life Sciences
610,"Recreation, Park & Tourism Sc",Bachelor,14,39652.0,69000.0,24000.0,+/- 10606,35500.0,39000.0,41925.0,Spring,2017,College of Agriculture & Life Sciences
611,Renewable Natural Resources,Bachelor,7,42000.0,55000.0,30000.0,+/- 10231,33750.0,45000.0,51250.0,Spring,2017,College of Agriculture & Life Sciences
612,Spatial Sciences,Bachelor,1,51276.0,51276.0,51276.0,+/- 0,51276.0,51276.0,51276.0,Spring,2017,College of Agriculture & Life Sciences
613,Turfgrass Science,Bachelor,1,34000.0,34000.0,34000.0,+/- 0,34000.0,34000.0,34000.0,Spring,2017,College of Agriculture & Life Sciences
614,University Studies,Bachelor,11,49050.0,80000.0,30000.0,+/- 13298,43250.0,50000.0,53457.0,Spring,2017,College of Agriculture & Life Sciences
615,Water Mgmt & Hydrological Sc,Master,2,54500.0,55000.0,54000.0,+/- 707,54500.0,54500.0,55000.0,Spring,2017,College of Agriculture & Life Sciences
616,Wildlife & Fisheries Sciences,Bachelor,4,33500.0,50000.0,24000.0,+/- 11818,26000.0,30000.0,50000.0,Spring,2017,College of Agriculture & Life Sciences
617,Architecture,Master,6,50417.0,58500.0,46000.0,+/- 4271,49000.0,50000.0,54250.0,Spring,2017,College of Architecture
618,Construction Science,Bachelor,104,62550.0,100000.0,45000.0,+/- 8426,60000.0,62000.0,64500.0,Spring,2017,College of Architecture
619,Environ Design Arch Studies,Bachelor,8,46149.0,60000.0,39600.0,+/- 6687,41000.0,45000.0,50000.0,Spring,2017,College of Architecture
620,Land & Property Development,Master,2,61138.0,71000.0,51276.0,+/- 13947,61138.0,61138.0,71000.0,Spring,2017,College of Architecture
621,Landscape Architecture,Bachelor,13,44846.0,54000.0,24000.0,+/- 7440,44250.0,45000.0,51000.0,Spring,2017,College of Architecture
622,University Studies,Bachelor,8,48012.0,57100.0,40000.0,+/- 5950,45000.0,50000.0,52000.0,Spring,2017,College of Architecture
623,Urban & Regional Planning,Bachelor,3,52667.0,58000.0,48000.0,+/- 5033,51000.0,52000.0,58000.0,Spring,2017,College of Architecture
624,Urban & Regional Planning,Master,2,72500.0,100000.0,45000.0,+/- 38891,72500.0,72500.0,100000.0,Spring,2017,College of Architecture
625,Visualization,Bachelor,3,38333.0,40000.0,37000.0,+/- 1528,37750.0,38000.0,40000.0,Spring,2017,College of Architecture
