"College of Agriculture & Life Sciences","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Clinical Psychology","Doctorate","2","$52,500.00","$55,000.00","$50,000.00","+/- 3536","$52,500.00","$52,500.00","$55,000.00"
"Communication","Bachelor","12","$47,606.00","$70,000.00","$35,000.00","+/- 9922","$40,000.00","$45,000.00","$55,000.00"
"Communication","Doctorate","3","$48,667.00","$56,000.00","$40,000.00","+/- 8083","$47,500.00","$50,000.00","$56,000.00"
"Economics","Bachelor","4","$58,250.00","$78,000.00","$40,000.00","+/- 18590","$45,000.00","$57,500.00","$78,000.00"
"History","Bachelor","2","$39,000.00","$43,000.00","$35,000.00","+/- 5657","$39,000.00","$39,000.00","$43,000.00"
"International Studies","Bachelor","1","$42,000.00","$42,000.00","$42,000.00","+/- 0","$42,000.00","$42,000.00","$42,000.00"
"Philosophy","Bachelor","1","$60,000.00","$60,000.00","$60,000.00","+/- 0","$60,000.00","$60,000.00","$60,000.00"
"Political Science","Bachelor","2","$41,500.00","$48,000.00","$35,000.00","+/- 9192","$41,500.00","$41,500.00","$48,000.00"
"Political Science","Doctorate","4","$83,250.00","$125,000.00","$53,000.00","+/- 31816","$65,000.00","$77,500.00","$125,000.00"
"Psychology","Bachelor","5","$54,400.00","$62,000.00","$45,000.00","+/- 7021","$51,250.00","$55,000.00","$61,500.00"
"Psychology","Doctorate","2","$64,750.00","$70,000.00","$59,500.00","+/- 7425","$64,750.00","$64,750.00","$70,000.00"
"Sociology","Bachelor","5","$45,310.00","$51,276.00","$36,000.00","+/- 6506","$43,000.00","$46,000.00","$51,276.00"
"Telecommunication MediaStudies","Bachelor","2","$35,500.00","$41,000.00","$30,000.00","+/- 7778","$35,500.00","$35,500.00","$41,000.00"
"University Studies","Bachelor","1","$35,000.00","$35,000.00","$35,000.00","+/- 0","$35,000.00","$35,000.00","$35,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","38","$48,108.00","$78,000.00","$30,000.00","+/- 11505","$40,000.00","$45,000.00","$55,000.00"
"Master","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"Doctorate","","11","$64,864.00","$125,000.00","$40,000.00","+/- 23833","$52,250.00","$56,000.00","$75,000.00"
"College of Mays Business School","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Accounting","Bachelor","4","$57,000.00","$61,500.00","$54,000.00","+/- 3674","$54,000.00","$56,250.00","$61,500.00"
"Business Administration","Doctorate","3","$186,667.00","$275,000.00","$120,000.00","+/- 79739","$153,750.00","$165,000.00","$275,000.00"
"Finance","Bachelor","4","$55,038.00","$66,150.00","$45,000.00","+/- 9404","$50,000.00","$54,500.00","$66,150.00"
"Management","Bachelor","2","$33,000.00","$35,000.00","$31,000.00","+/- 2828","$33,000.00","$33,000.00","$35,000.00"
"Management Information Systems","Bachelor","1","$60,000.00","$60,000.00","$60,000.00","+/- 0","$60,000.00","$60,000.00","$60,000.00"
"Marketing","Bachelor","3","$62,092.00","$70,000.00","$51,276.00","+/- 9695","$61,569.00","$65,000.00","$70,000.00"
"Supply Chain Management","Bachelor","1","$45,000.00","$45,000.00","$45,000.00","+/- 0","$45,000.00","$45,000.00","$45,000.00"
"University Studies","Bachelor","7","$49,400.00","$60,000.00","$38,000.00","+/- 7311","$46,350.00","$48,000.00","$57,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","22","$52,328.00","$70,000.00","$31,000.00","+/- 10106","$45,900.00","$53,000.00","$60,000.00"
"Master","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"Doctorate","","3","$186,667.00","$275,000.00","$120,000.00","+/- 79739","$153,750.00","$165,000.00","$275,000.00"
"College of Nursing","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Family Nurse Practitioner","Master","2","$74,000.00","$90,000.00","$58,000.00","+/- 22627","$74,000.00","$74,000.00","$90,000.00"
"Nursing","Bachelor","11","$51,855.00","$55,400.00","$45,000.00","+/- 4078","$50,000.00","$55,000.00","$55,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","11","$51,855.00","$55,400.00","$45,000.00","+/- 4078","$50,000.00","$55,000.00","$55,000.00"
"Master","","2","$74,000.00","$90,000.00","$58,000.00","+/- 22627","$74,000.00","$74,000.00","$90,000.00"
"Doctorate","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"College of Public Health","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Biostatistics","Master","2","$54,000.00","$55,000.00","$53,000.00","+/- 1414","$54,000.00","$54,000.00","$55,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
