"College of Agriculture & Life Sciences","","","","","","","","",""
"Electrical Engineering","Master","3","$118,000.00","$140,000.00","$106,000.00","+/- 19079","$107,500.00","$108,000.00","$140,000.00"
"Electronic Sys Engr Technology","Bachelor","7","$63,645.00","$70,000.00","$51,276.00","+/- 7360","$63,250.00","$67,000.00","$68,681.50"
"Engineering Technology","Bachelor","12","$59,754.00","$75,000.00","$35,000.00","+/- 10382","$58,000.00","$60,250.00","$67,000.00"
"Industrial Distribution","Bachelor","37","$57,123.00","$69,000.00","$45,000.00","+/- 7904","$50,250.00","$55,000.00","$64,000.00"
"Industrial Distribution","Master","8","$96,250.00","$150,000.00","$70,000.00","+/- 25600","$80,000.00","$90,000.00","$110,000.00"
"Industrial Engineering","Bachelor","28","$62,331.00","$82,000.00","$30,000.00","+/- 10846","$55,000.00","$63,500.00","$69,000.00"
"Industrial Engineering","Master","4","$85,856.00","$100,000.00","$74,000.00","+/- 12240","$77,425.00","$84,712.50","$100,000.00"
"Mechanical Engineering","Bachelor","41","$68,624.00","$99,000.00","$45,000.00","+/- 8194","$65,000.00","$70,000.00","$71,375.00"
"Mechanical Engineering","Doctorate","2","$83,210.00","$86,420.00","$80,000.00","+/- 4540","$83,210.00","$83,210.00","$86,420.00"
"Mechanical Engineering","Master","3","$78,656.00","$85,000.00","$71,467.00","+/- 6806","$77,491.75","$79,500.00","$85,000.00"
"Nuclear Engineering","Bachelor","5","$60,766.00","$80,000.00","$51,276.00","+/- 13467","$51,276.00","$51,276.00","$77,500.00"
"Nuclear Engineering","Doctorate","2","$95,000.00","$100,000.00","$90,000.00","+/- 7071","$95,000.00","$95,000.00","$100,000.00"
"Ocean Engineering","Bachelor","5","$67,855.00","$90,000.00","$51,276.00","+/- 14761","$61,000.00","$70,000.00","$85,000.00"
"Petroleum Engineering","Bachelor","37","$83,314.00","$150,000.00","$50,000.00","+/- 21001","$62,750.00","$85,000.00","$100,000.00"
"Petroleum Engineering","Doctorate","2","$120,000.00","$140,000.00","$100,000.00","+/- 28284","$120,000.00","$120,000.00","$140,000.00"
"Petroleum Engineering","Master","7","$114,143.00","$240,000.00","$85,000.00","+/- 55954","$88,000.00","$94,500.00","$139,500.00"
"Radiological Health Engr","Bachelor","2","$55,000.00","$70,000.00","$40,000.00","+/- 21213","$55,000.00","$55,000.00","$70,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","377","$67,907.00","$150,000.00","$30,000.00","+/- 14812","$58,250.00","$66,000.00","$73,000.00"
"Master","","49","$92,977.00","$240,000.00","$60,000.00","+/- 29554","$72,125.00","$90,000.00","$106,750.00"
"Doctorate","","22","$92,678.00","$164,000.00","$30,000.00","+/- 31966","$75,000.00","$95,000.00","$114,000.00"
"College of Geosciences","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Environmental Geoscience","Bachelor","2","$43,000.00","$50,000.00","$36,000.00","+/- 9899","$43,000.00","$43,000.00","$50,000.00"
"Environmental Studies","Bachelor","3","$47,092.00","$60,000.00","$30,000.00","+/- 15431","$45,957.00","$51,276.00","$60,000.00"
"Geographic Info Science & Tech","Bachelor","9","$55,253.00","$80,000.00","$33,000.00","+/- 18819","$40,750.00","$51,276.00","$78,750.00"
"Geography","Bachelor","1","$51,276.00","$51,276.00","$51,276.00","+/- 0","$51,276.00","$51,276.00","$51,276.00"
"Geology","Bachelor","7","$55,714.00","$65,000.00","$45,000.00","+/- 8381","$52,500.00","$55,000.00","$65,000.00"
"Geology","Doctorate","2","$113,500.00","$127,000.00","$100,000.00","+/- 19092","$113,500.00","$113,500.00","$127,000.00"
"Geophysics","Bachelor","2","$60,000.00","$70,000.00","$50,000.00","+/- 14142","$60,000.00","$60,000.00","$70,000.00"
"Meteorology","Bachelor","1","$23,000.00","$23,000.00","$23,000.00","+/- 0","$23,000.00","$23,000.00","$23,000.00"
"University Studies","Bachelor","1","$50,000.00","$50,000.00","$50,000.00","+/- 0","$50,000.00","$50,000.00","$50,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","26","$52,263.00","$80,000.00","$23,000.00","+/- 14733","$45,000.00","$51,276.00","$62,500.00"
"Master","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"Doctorate","","2","$113,500.00","$127,000.00","$100,000.00","+/- 19092","$113,500.00","$113,500.00","$127,000.00"
"College of Liberal Arts","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Anthropology","Bachelor","4","$36,569.00","$51,276.00","$30,000.00","+/- 9951","$31,000.00","$32,500.00","$51,276.00"
"Classics","Bachelor","1","$27,000.00","$27,000.00","$27,000.00","+/- 0","$27,000.00","$27,000.00","$27,000.00"
